Timestamp,Open,High,Low,Close,Volume
2012-01-01 10:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 11:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 12:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 13:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 14:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 15:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 16:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 17:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 18:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 19:00:00,4.58,4.58,4.58,4.58,0.0
2012-01-01 20:00:00,4.58,4.84,4.58,4.84,10.0
2012-01-01 21:00:00,4.84,4.84,4.84,4.84,0.0
2012-01-01 22:00:00,4.84,4.84,4.84,4.84,0.0
2012-01-01 23:00:00,4.84,4.84,4.84,4.84,0.0
2012-01-02 00:00:00,4.84,4.84,4.84,4.84,0.0
2012-01-02 01:00:00,4.84,4.84,4.84,4.84,0.0
2012-01-02 02:00:00,4.84,4.84,4.84,4.84,0.0
2012-01-02 03:00:00,4.84,5.0,4.84,5.0,10.1
2012-01-02 04:00:00,5.0,5.0,5.0,5.0,0.0
2012-01-02 05:00:00,5.0,5.0,5.0,5.0,0.0
